QID,QuestionText,Response,Classification 1,Classification 2,Classification 3
1,,"get rid of the trrible odor in the kitchen it smells alot when we bring in lunch air freshners would help not candles though",kitchen,(none),(none)
2,,"i don t care",not helpful,(none),(none)
3,,"wfh everyday get video calls set up so we can phone in",work/life balance,kitchen,(none)
4,,"nothing",positive,(none),(none)
5,,"blah blah like anyone will read this anyway",not helpful,(none),(none)
6,,"sugestions vote box could be used for i wednesday lunch ii office improvements iii game movie night requests etc",kitchen,not helpful,(none)
7,,"better snacks stop people from stealing my food even after i labeled it its not right and it makes me ngry",kitchen,not helpful,(none)
8,,"stay golden pony boy",(none),(none),(none)
9,,"once a week show at lunch i e lecture tv show documentary etc",kitchen,not helpful,(none)
10,,"more video games board games and scavenger hunts",work/life balance,(none),(none)
11,,"love teh office i wouldn t change a thing",not helpful,(none),(none)
12,,"better more healthy snacks otherwise the office is perfect",kitchen,(none),(none)
13,,"i can t think of a better workplace environment",not helpful,kitchen,work/life balance
14,,"identifier deleted gives each employee $ to decorate their workspace just sayin",(none),(none),(none)
15,,"they ve moved my desk four times already this year and i used to be over by the window and i could see the squirrels and they were merry but then they switched from the swingline to the boston stapler but i kept my swingline stapler because it didn t bind up as much and i kept the staples for the swingline stapler and it s not okay because if they take my stapler then i ll set the building on fire",kitchen,not helpful,work/life balance
16,,"i wouldn t say no to trying tellpresience robots or standing desks",not helpful,(none),(none)
17,,"the projector is misaligned and it bugs the hell out of me it was embarassing in the identifier deleted meeting when identifier deleted pinted it out",kitchen,(none),(none)
18,,"the office is great don t change anything we should do more offsite activities though like a giants game",kitchen,not helpful,(none)
19,,"showers a lot of us bike to from work and wouldn t mind cleaning up we could also workout before work or even at lunchtime if we want to",kitchen,not helpful,work/life balance
20,,"i wish to work in a unicorn free environment",kitchen,not helpful,(none)
21,,"snack suggestion box bar better more beer",(none),(none),(none)
22,,"move the office to sf",kitchen,(none),(none)
23,,"the keurig is no good we should have an arrngment with identifier deleted for discounts or at least we could have meetings at identifier deleted",kitchen,(none),(none)
24,,"fresher fruit actual coffee almond milk",(none),(none),(none)
25,,"i want to sit down druing stand up",not helpful,work/life balance,(none)
26,,"sonos speakers then a few of us could play some music and work together in a conference room otherwise all is well",kitchen,(none),(none)
27,,"personal whiteboards at each desk webcams in the confrnce rooms",kitchen,(none),(none)
28,,"retrofit a conference room for a nap room",(none),(none),(none)
29,,"lecture series guest lectures videos or we give them oursleves",kitchen,(none),(none)
30,,"chairs could be better",(none),(none),(none)
31,,"i love the office wouldn t want to work anywere else maybe have more drinks and game nights",not helpful,kitchen,(none)
32,,"healthier snacks bring in dinner when working late allow for lunchtime workout and maybe a gym membership at identifier deleted down the street",kitchen,(none),(none)
33,,"fewer surveys",(none),(none),(none)
34,,"drones video games book club beer",work/life balance,(none),(none)
35,,"supplies and tech are phenomnal food is great kitchen and bathrooms clean i wouldnt change anyting",kitchen,not helpful,(none)
