QID,QuestionText,Response,Classification1,Classification2,Classification3
1,,would we Get in the It kitchen. odor freshners when Air candles though. of in bring smells Not the lunch. alot rid trrible help.,kitchen
2,,I don't care,not helpful
3,,up calls video in phone WFH Get can so we set everyday!!!,work/life balance,tech
4,,nothing,positive,not helpful
5,,"this read will anyone like blah, blah anyway",not helpful
6,,"etc... requests, Sugestions/vote (ii) Could box. game/movie lunch, (iii) night Wednesday improvements, be for used office (i)",tools,entertainment,food
7,,food my from ngry Its labeled Better me right makes stealing people I Stop snacks! it even after not and it.,food
8,,"boy pony golden, stay",not helpful
9,,"i.e. etc. -- lunch show, at tv lecture, once-a-week show documentary,",entertainment
10,,"and hunts more board video scavenger games, games,",entertainment
11,,"teh wouldn't love thing! a change I office,",positive
12,,Better/more perfect. the Otherwise office is HEALTHY snacks.,food,positive
13,,think I better environment! of a workplace can't,positive
14,,"their employee sayin! [identifier deleted] gives to decorate $10,000 workspace… each just",decor
15,,"see moved they much, it then, used could my building take switched already by be set stapler window, they from I I'll four Swingline and I up not and year, Swingline stapler didn't as okay to merry, it's because if and I I the were over for this fire... bind the my kept they've  the and stapler, and desk then stapler on but Swingline the Boston the kept squirrels, the staples they because the to but times my",not helpful,tools
16,,no say trying I robots… tellpresience desks or to standing wouldn't,tech,furniture
17,,it the it meeting out when and It misaligned in hell is The of out! was [identifier deleted] me. [identifier deleted] BUGS pinted the projector embarassing,tech
18,,"change office don't Giants great, more offsite should The game! We a do anything. though. Like is activities",work/life balance,positive
19,,"workout we lunchtime wouldn't up. also or could even cleaning before of if A us bike lot work, want work and at mind We to/from to. Showers.",sanitation
20,,to unicorn-free environment work I wish in a,not helpful
21,,* * bar  better/more box * beer snack-suggestion,food
22,,:) the to office Move SF,not helpful
23,,The at we arrngment least deleted]. have for at [identifier deleted] an no discounts. is meetings have could should We [identifier deleted] with Or Keurig good.,food,kitchen
24,,almond 1)  coffee  2) 3) fresher actual milk fruit,food
25,,to down up. druing I stand want sit,not helpful
26,,"and could in a work all conference Otherwise music some us Sonos a then together room. well! is play few speakers, of",entertainment,tech
27,,whiteboards each 1) in confrnce 2) webcams the personal at rooms desk,tools,tech
28,,nap room Retrofit a a room conference for,productivity
29,,"them we or oursleves series; lectures, guest lecture videos, give",productivity,entertainment
30,,could chairs better be,furniture
31,,"and love work have to I drinks else. the more want Maybe game wouldn't office, nights anywere",positive,entertainment,food
32,,"membership at snacks, gym [identifier deleted] lunchtime maybe allow for 3- workout; and 2- when healthier late, in the 1- bring down dinner working a street?",work/life balance,food
33,,surveys fewer,not helpful
34,,"video drones, beer club, games, book",entertainment,tech,food
35,,"great, clean... change I anyting. tech and Supplies kitchen bathrooms phenomnal, and food is are wouldnt",positive
